Entry,Organism,Protein families,Length,Fragment,Toxic dose,PTM
P0DMF7,Chaerilus tricostatus (Scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",69,,,
H2CYR5,Pandinus cavimanus (Tanzanian red clawed scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",68,,,
P84190,Tityus serrulatus (Brazilian scorpion),Non-disulfide-bridged peptide (NDBP) superfamily,25,,,The ultimate C-terminal Ala residue of TsHpt-I is quickly removed by carboxypeptidase Y in (in vitro) experiments
P0CJ04,Lychas mucronatus (Chinese swimming scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Long chain multifunctional peptide (group 2) family",61,,,
P0CI91,Lychas mucronatus (Chinese swimming scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Medium-length antimicrobial peptide (group 3) family, Ponericin-W subfamily",79,,,
E4VP50,Mesobuthus eupeus (Lesser Asian scorpion) (Buthus eupeus),"Non-disulfide-bridged peptide (NDBP) superfamily, Medium-length antimicrobial peptide (group 3) family, Ponericin-W subfamily",69,,,
Q3HXY3,Pseudechis australis (Mulga snake) (King brown snake),NGF-beta family,242,,,
Q3HXZ0,Oxyuranus microlepidotus (Inland taipan),NGF-beta family,243,,,
O57540,Crotalus durissus terrificus (South American rattlesnake),Crotamine-myotoxin family,65,,,
Q26464,Myrmecia pilosula (Jack jumper ant) (Australian jumper ant),Pilosulin family,75,,LD(50) of the heterodimer is 260.1 +- 16.6 pmol/g towards D.melanogaster. {ECO:0000269|PubMed:32629771}.,
P24331,Crotalus durissus terrificus (South American rattlesnake),Crotamine-myotoxin family,65,,,
P24333,Crotalus durissus terrificus (South American rattlesnake),Crotamine-myotoxin family,65,,,
P24330,Crotalus adamanteus (Eastern diamondback rattlesnake),Crotamine-myotoxin family,70,,LD(50) is 0.96 mg/kg by subcutaneous injection. {ECO:0000269|PubMed:1862521}.,
B1NWU2,Actinia equina (Beadlet anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",82,,,
P0DL50,Anemonia viridis (Snakelocks anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",80,,Dose that immobilizes and contracts insects (ED(50)) is 3.7 pmol/g body weight when intersegmentally injected into S.falculata. {ECO:0000269|PubMed:16846229}.,
P0DL54,Anemonia viridis (Snakelocks anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",80,,,
P0C5F9,Anthopleura xanthogrammica (Giant green sea anemone) (Actinia xanthogrammica),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",47,,,
P0C5G0,Anthopleura xanthogrammica (Giant green sea anemone) (Actinia xanthogrammica),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",47,,,
P0C5G1,Anthopleura xanthogrammica (Giant green sea anemone) (Actinia xanthogrammica),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",47,,,
B1NWT3,Anemonia viridis (Snakelocks anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",72,,,
P0C5F6,Anthopleura sp. (strain 'Zhanjiang') (Sea anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",47,,,
P0C7P9,Bunodosoma cangicum (Sea anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",48,,,
P01532,Anthopleura elegantissima (Green aggregating anemone) (Actinia elegantissima),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",47,,LD(50) is 1 ug/kg by intramuscular injection into crabs (C.maenas). {ECO:0000269|PubMed:11072049}.,
P0DMX1,Condylactis passiflora (Pink tip anemone),"Sea anemone sodium channel inhibitory toxin family, Type I subfamily",47,,,0
D2KX90,Cryptodendrum adhaesivum (Adhesive sea anemone),"Sea anemone sodium channel inhibitory toxin family, Type II subfamily",84,,LD(50) is 20 ug/kg to freshwater crabs. {ECO:0000269|PubMed:20817118}.,
Q2XXL6,Azemiops feae (Fea's viper),NGF-beta family,223,fragment,,
Q3HXY9,Pseudonaja textilis (Eastern brown snake),NGF-beta family,243,,,
Q3HXY2,Pseudechis australis (Mulga snake) (King brown snake),NGF-beta family,242,,,
Q3HXY1,Pseudechis australis (Mulga snake) (King brown snake),NGF-beta family,242,,,
B8QCG6,Agkistrodon contortrix contortrix (Southern copperhead),NGF-beta family,190,fragment,,Glycosylated
P83239,Pandinus imperator (Emperor scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Long chain multifunctional peptide (group 2) family",44,,,
P0CF38,Isometrus maculatus (Lesser brown scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Long chain multifunctional peptide (group 2) family",56,,PD(50) is 38 mg/kg into the insect A.domestica. {ECO:0000269|PubMed:20139620}.,
C5J897,Opisthacanthus cayaporum (South American scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Medium-length antimicrobial peptide (group 3) family",80,,,
Q8MMJ7,Opisthacanthus madagascariensis (Scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",68,,,IsCTf is an enzymatic proteolytic cleavage product of IsCT by the proteases present in the venom
P0DJO3,Scorpiops tibetanus (Scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",74,,,
P0DJO4,Scorpiops tibetanus (Scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",69,,,
R4JNJ5,Pandinus imperator (Emperor scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",69,,,
A0A0A1I6E7,Androctonus crassicauda (Arabian fat-tailed scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",74,,,
C5J886,Opisthacanthus cayaporum (South American scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",68,,,
P0DMF2,Chaerilus tryznai (Scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",84,,,
Q5G8B4,Tityus costatus (Brazilian scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",73,,,
P0CH58,Mesobuthus eupeus (Lesser Asian scorpion) (Buthus eupeus),"Non-disulfide-bridged peptide (NDBP) superfamily, Antimalarial peptide (group 5) family",56,,,
C0HJT2,Tityus serrulatus (Brazilian scorpion),Non-disulfide-bridged peptide (NDBP) superfamily,5,,,
Q9Y0X5,Mesobuthus martensii (Manchurian scorpion) (Buthus martensii),Non-disulfide-bridged peptide (NDBP) superfamily,57,,,
Q3HXY7,Notechis scutatus scutatus (Mainland tiger snake) (Common tiger snake),NGF-beta family,244,,,
Q3HXY8,Pseudonaja textilis (Eastern brown snake),NGF-beta family,243,,,
P83313,Opistophthalmus carinatus (African yellow leg scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Long chain multifunctional peptide (group 2) family",82,,,
Q8N0N8,Mesobuthus martensii (Manchurian scorpion) (Buthus martensii),"Non-disulfide-bridged peptide (NDBP) superfamily, Long chain multifunctional peptide (group 2) family",74,,,
Q5G8A9,Tityus costatus (Brazilian scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Long chain multifunctional peptide (group 2) family",74,,,
P0C8L3,Hadrurus gertschi (Scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Long chain multifunctional peptide (group 2) family",80,,,
L0GBQ6,Urodacus yaschenkoi (Inland robust scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Long chain multifunctional peptide (group 2) family",81,,,
C5J888,Opisthacanthus cayaporum (South American scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Medium-length antimicrobial peptide (group 3) family",75,,,
P0DME2,Chaerilus tricostatus (Scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",75,,,
D9U2B8,Lychas mucronatus (Chinese swimming scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",73,,,
P0CI90,Lychas mucronatus (Chinese swimming scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",73,,,
C5J887,Opisthacanthus cayaporum (South American scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",69,,,
P0DME7,Heterometrus petersii (Asian forest scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",67,,,
P0DME8,Heterometrus petersii (Asian forest scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Short antimicrobial peptide (group 4) family",67,,,
P0CH57,Mesobuthus eupeus (Lesser Asian scorpion) (Buthus eupeus),"Long chain scorpion toxin family, Class 2 subfamily",88,,,
P0CJ02,Lychas mucronatus (Chinese swimming scorpion),Non-disulfide-bridged peptide (NDBP) superfamily,60,,,
D9U2B7,Lychas mucronatus (Chinese swimming scorpion),"Non-disulfide-bridged peptide (NDBP) superfamily, Long chain multifunctional peptide (group 2) family",87,,,
P82427,Pachycondyla goeldii (Ponerine ant),"Non-disulfide-bridged peptide (NDBP) superfamily, Medium-length antimicrobial peptide (group 3) family, Ponericin-W subfamily",24,,,
Q5YF89,Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix),NGF-beta family,241,,,
Q5YF90,Naja sputatrix (Malayan spitting cobra) (Naja naja sputatrix),NGF-beta family,243,,,
P34128,Bungarus multicinctus (Many-banded krait),NGF-beta family,243,,,
P0CJ22,Conus betulinus (Beech cone),NPY family,37,,,
P0DP55,Meiacanthus atrodorsalis (Forktail blenny) (Petroscirtes atrodorsalis),NPY family,99,,,
Q3HXX6,Tropidechis carinatus (Australian rough-scaled snake),NGF-beta family,243,,,
Q90W38,Bothrops jararacussu (Jararacussu),NGF-beta family,241,,,
F8RKW5,Drysdalia coronoides (White-lipped snake) (Hoplocephalus coronoides),NGF-beta family,242,,,
P61898,Naja atra (Chinese cobra),NGF-beta family,116,,,Not glycosylated
P01140,Naja naja (Indian cobra),NGF-beta family,116,,,Not glycosylated
A6MFL5,Demansia vestigiata (Lesser black whip snake) (Demansia atra),NGF-beta family,242,,,
Q3HXX8,Tropidechis carinatus (Australian rough-scaled snake),NGF-beta family,245,,,
Q3HXX7,Tropidechis carinatus (Australian rough-scaled snake),NGF-beta family,244,,,
Q3HXX5,Tropidechis carinatus (Australian rough-scaled snake),NGF-beta family,244,,,
P30894,Daboia russelii (Russel's viper) (Vipera russelii),NGF-beta family,117,,,
Q3HXY4,Pseudechis porphyriacus (Red-bellied black snake),NGF-beta family,239,,,
H9KQJ7,Apis mellifera (Honeybee),,74,,,
Q9BP82,Conus arenatus (Sand-dusted cone),Conotoxin O1 superfamily,70,,,
Q9BP95,Conus ventricosus (Mediterranean cone),Conotoxin O1 superfamily,72,,,
Q9BP93,Conus ventricosus (Mediterranean cone),Conotoxin O1 superfamily,76,,,
Q9U644,Conus textile (Cloth-of-gold cone),Conotoxin O1 superfamily,82,,,
Q9BP98,Conus ventricosus (Mediterranean cone),Conotoxin O1 superfamily,72,,,
Q9BP90,Conus arenatus (Sand-dusted cone),Conotoxin O1 superfamily,77,,,
Q9BP87,Conus arenatus (Sand-dusted cone),Conotoxin O1 superfamily,78,,,
Q9BPB1,Conus textile (Cloth-of-gold cone),Conotoxin O2 superfamily,72,,,Brominated at one of the Trp residues
Q9BPB7,Conus textile (Cloth-of-gold cone),Conotoxin O2 superfamily,76,,,
Q9BP66,Conus arenatus (Sand-dusted cone),Conotoxin O3 superfamily,78,,,
Q9BP50,Conus arenatus (Sand-dusted cone),Conotoxin O3 superfamily,39,fragment,,
Q9BP74,Conus tessulatus (Tessellate cone),Conotoxin O3 superfamily,78,,,
P86990,Rhopalurus junceus (Caribbean blue scorpion),"Long (4 C-C) scorpion toxin superfamily, Sodium channel inhibitor family",34,fragment,,
Q3HXX9,Hoplocephalus stephensii (Stephens' banded snake),NGF-beta family,245,,,
A6MFL7,Demansia vestigiata (Lesser black whip snake) (Demansia atra),NGF-beta family,242,,,
P0DMG7,Bothrops cotiara (Cotiara) (Rhinocerophis cotiara),NGF-beta family,21,fragment,,Glycosylated
Q1W7Q6,Cryptophis nigrescens (Eastern small-eyed snake) (Rhinoplocephalus nigrescens),NGF-beta family,243,,,
P25428,Macrovipera lebetina (Levantine viper) (Vipera lebetina),NGF-beta family,244,,,N-glycosylated
Q3I5F4,Oxyuranus scutellatus scutellatus (Australian taipan) (Coastal taipan),NGF-beta family,243,,,
P01525,Cerebratulus lacteus (Milky ribbon worm) (Micrura lactea),Worm B-toxin family,55,,,
P01526,Cerebratulus lacteus (Milky ribbon worm) (Micrura lactea),Worm B-toxin family,55,,,
Q9BPA1,Conus ventricosus (Mediterranean cone),Conotoxin O1 superfamily,91,,,
P0CJ21,Conus textile (Cloth-of-gold cone),Conotoxin O2 superfamily,72,,,Brominated at one of the Trp residues
Q9BPD0,Conus ventricosus (Mediterranean cone),Conotoxin O2 superfamily,74,,,
Q9BPC2,Conus ventricosus (Mediterranean cone),Conotoxin O2 superfamily,77,,,
Q9BPC8,Conus ventricosus (Mediterranean cone),Conotoxin O2 superfamily,77,,,
Q9BP73,Conus tessulatus (Tessellate cone),Conotoxin O3 superfamily,79,,,
P0CJ23,Conus betulinus (Beech cone),NPY family,37,,,
P0CAR6,Micrurus pyrrhocryptus (Coral snake),,16,fragment,,
Q9BP85,Conus arenatus (Sand-dusted cone),Conotoxin O1 superfamily,80,,,
Q9BPB4,Conus textile (Cloth-of-gold cone),Conotoxin O2 superfamily,73,,,
Q9BPC9,Conus ventricosus (Mediterranean cone),Conotoxin O2 superfamily,74,,,
Q9BPC6,Conus ventricosus (Mediterranean cone),Conotoxin O2 superfamily,76,,,
Q9BPB0,Conus textile (Cloth-of-gold cone),Conotoxin O2 superfamily,78,,,
Q9BP63,Conus pennaceus (Feathered cone) (Conus episcopus),Conotoxin O3 superfamily,79,,,
Q9BPA3,Conus ventricosus (Mediterranean cone),Conotoxin O1 superfamily,77,,,
Q9U662,Conus pennaceus (Feathered cone) (Conus episcopus),Conotoxin O1 superfamily,76,,,
Q9U656,Conus textile (Cloth-of-gold cone),Conotoxin O1 superfamily,78,,,
Q9BP81,Conus arenatus (Sand-dusted cone),Conotoxin O1 superfamily,76,,,
Q9BP80,Conus arenatus (Sand-dusted cone),Conotoxin O1 superfamily,70,,,
Q9BP78,Conus arenatus (Sand-dusted cone),Conotoxin O1 superfamily,79,,,
Q9BH84,Conus arenatus (Sand-dusted cone),Conotoxin O1 superfamily,78,,,
Q9BP99,Conus arenatus (Sand-dusted cone),Conotoxin O1 superfamily,84,,,
Q9BP96,Conus ventricosus (Mediterranean cone),Conotoxin O1 superfamily,72,,,
Q9BP79,Conus arenatus (Sand-dusted cone),Conotoxin O1 superfamily,73,,,
Q9BP77,Conus arenatus (Sand-dusted cone),Conotoxin O1 superfamily,81,,,
Q9BP92,Conus arenatus (Sand-dusted cone),Conotoxin O1 superfamily,77,,,
Q9BP91,Conus arenatus (Sand-dusted cone),Conotoxin O1 superfamily,77,,,
Q9BP88,Conus arenatus (Sand-dusted cone),Conotoxin O1 superfamily,76,,,
Q9BPA4,Conus ventricosus (Mediterranean cone),Conotoxin O1 superfamily,79,,,
Q9BHA0,Conus textile (Cloth-of-gold cone),Conotoxin O2 superfamily,81,,,
Q9BPB9,Conus tessulatus (Tessellate cone),Conotoxin O2 superfamily,75,,,
Q3YEF7,Conus litteratus (Lettered cone),Conotoxin O2 superfamily,76,,,
Q9BPC4,Conus ventricosus (Mediterranean cone),Conotoxin O2 superfamily,76,,,
Q9BPC3,Conus ventricosus (Mediterranean cone),Conotoxin O2 superfamily,76,,,
Q9BPA6,Conus pennaceus (Feathered cone) (Conus episcopus),Conotoxin O2 superfamily,77,,,
Q9BP61,Conus ventricosus (Mediterranean cone),Conotoxin O3 superfamily,79,,,
Q9BP59,Conus ventricosus (Mediterranean cone),Conotoxin O3 superfamily,80,,,
Q06478,Dolichovespula maculata (Bald-faced hornet) (Vespula maculata),"AB hydrolase superfamily, Lipase family",317,fragment,,
Q6Q251,Polistes dominula (European paper wasp) (Vespa dominula),"AB hydrolase superfamily, Lipase family",316,fragment,,
Q6Q250,Polistes dominula (European paper wasp) (Vespa dominula),"AB hydrolase superfamily, Lipase family",316,fragment,,
Q6Q249,Polistes dominula (European paper wasp) (Vespa dominula),"AB hydrolase superfamily, Lipase family",316,fragment,,
Q68KK0,Solenopsis invicta (Red imported fire ant) (Solenopsis wagneri),"AB hydrolase superfamily, Lipase family",346,,,Contains six disulfide bonds; N-glycosylated; contains mannose
P49369,Vespula vulgaris (Yellow jacket) (Wasp),"AB hydrolase superfamily, Lipase family",336,,,
P24644,Calliophis bivirgata (Blue Malaysian coral snake) (Maticora bivirgata),"Phospholipase A2 family, Group I subfamily",38,fragment,,
Q4VRI5,Oxyuranus scutellatus scutellatus (Australian taipan) (Coastal taipan),"Phospholipase A2 family, Group I subfamily, D49 sub-subfamily",154,,LD(100) is 3500 ug/kg by intracerebroventricular injection into mice. {ECO:0000269|PubMed:16669624}.,
P85060,Acanthophis sp. (strain Seram) (Seram death adder),"Phospholipase A2 family, Group I subfamily",30,fragment,,Contains seven disulfide bonds
P86120,Opisthacanthus cayaporum (South American scorpion),Phospholipase A2 family,27,fragment,,
P0DMK1,Bothrops matogrossensis (Pitviper) (Bothrops neuwiedi matogrossensis),"Phospholipase A2 family, Group II subfamily, K49 sub-subfamily",32,fragment,,
A8CG86,Daboia russelii (Russel's viper) (Vipera russelii),"Phospholipase A2 family, Group II subfamily, D49 sub-subfamily",138,,,
P0C932,Lachesis muta muta (Bushmaster),"Phospholipase A2 family, Group II subfamily, D49 sub-subfamily",50,fragment,,
P00611,Laticauda semifasciata (Black-banded sea krait) (Pseudolaticauda semifasciata),"Phospholipase A2 family, Group I subfamily, D49 sub-subfamily",145,,,
P00596,Naja kaouthia (Monocled cobra) (Naja siamensis),"Phospholipase A2 family, Group I subfamily, D49 sub-subfamily",146,,LD(50) is 10 mg/kg by intravenous injection.,
Q91506,Protobothrops mucrosquamatus (Taiwan habu) (Trimeresurus mucrosquamatus),"Phospholipase A2 family, Group II subfamily, D49 sub-subfamily",122,,,
